url,Title,Original/Revival,Tonys
https://www.ibdb.com/broadway-production/a-bronx-tale-the-musical-508538#statistics,A Bronx Tale The Musical,Original,0
https://www.ibdb.com/broadway-production/aint-too-proud-520004#statistics,Aint Too Proud,Original,1
https://www.ibdb.com/broadway-production/all-my-sons-519850#statistics,All My Sons,Revival,0
https://www.ibdb.com/broadway-production/american-son-518736#statistics,American Son,Original,0
https://www.ibdb.com/broadway-production/anastasia-508711#statistics,Anastasia,Original,0
https://www.ibdb.com/broadway-production/angels-in-america-millennium-approaches-515873#statistics,Angels In America Millennium Approaches,Revival,3
https://www.ibdb.com/broadway-production/be-more-chill-519720#statistics,Be More Chill,Original,0
https://www.ibdb.com/broadway-production/beetlejuice-519779#statistics,Beetlejuice,Original,0
https://www.ibdb.com/broadway-production/bernhardt-hamlet-518406#statistics,Bernhardt Hamlet,Original,0
https://www.ibdb.com/broadway-production/burn-this-520708#statistics,Burn This,Revival,0
https://www.ibdb.com/broadway-production/carousel-515791#statistics,Carousel,Revival,2
https://www.ibdb.com/broadway-production/celebrity-autobiography-520492#statistics,Celebrity Autobiography,Original,0
https://www.ibdb.com/broadway-production/choir-boy-517586#statistics,Choir Boy,Original,2
https://www.ibdb.com/broadway-production/escape-to-margaritaville-515030#statistics,Escape To Margaritaville,Original,0
https://www.ibdb.com/broadway-production/gary-a-sequel-to-titus-andronicus-519765#statistics,Gary A Sequel To Titus Andronicus,Original,0
https://www.ibdb.com/broadway-production/gettin-the-band-back-together-515587#statistics,Gettin The Band Back Together,Original,0
https://www.ibdb.com/broadway-production/hadestown-520711#statistics,Hadestown,Original,8
https://www.ibdb.com/broadway-production/head-over-heels-517717#statistics,Head Over Heels,Original,0
https://www.ibdb.com/broadway-production/hello-dolly-507877#statistics,Hello Dolly,Revival,4
https://www.ibdb.com/broadway-production/hillary-and-clinton-520344#statistics,Hillary And Clinton,Original,0
https://www.ibdb.com/broadway-production/ink-518582#statistics,Ink,Original,2
https://www.ibdb.com/broadway-production/king-kong-516830#statistics,King Kong,Original,1
https://www.ibdb.com/broadway-production/king-lear-519767#statistics,King Lear,Revival,0
https://www.ibdb.com/broadway-production/kinky-boots-493287#statistics,Kinky Boots,Original,6
https://www.ibdb.com/broadway-production/kiss-me-kate-518742#statistics,Kiss Me Kate,Revival,0
https://www.ibdb.com/broadway-production/morrissey-521529#statistics,Morrissey,Original,0
https://www.ibdb.com/broadway-production/network-519334#statistics,Network,Original,1
https://www.ibdb.com/broadway-production/oklahoma-520829#statistics,Oklahoma,Revival,2
https://www.ibdb.com/broadway-production/once-on-this-island-514926#statistics,Once On This Island,Revival,1
https://www.ibdb.com/broadway-production/pretty-woman-the-musical-517017#statistics,Pretty Woman The Musical,Original,0
https://www.ibdb.com/broadway-production/ruben-clays-first-annual-christmas-carol-family-fun-pageant-spectacular-reunion-show-520256#statistics,Ruben Clays First Annual Christmas Carol Family Fun Pageant Spectacular Reunion Show,Original,0
https://www.ibdb.com/broadway-production/saint-joan-515949#statistics,Saint Joan,Revival,0
https://www.ibdb.com/broadway-production/school-of-rock-the-musical-498973#statistics,School Of Rock The Musical,Original,0
https://www.ibdb.com/broadway-production/spongebob-squarepants-515039#statistics,Spongebob Squarepants,Original,1
https://www.ibdb.com/broadway-production/springsteen-on-broadway-515480#statistics,Springsteen On Broadway,Original,1
https://www.ibdb.com/broadway-production/straight-white-men-517091#statistics,Straight White Men,Original,0
https://www.ibdb.com/broadway-production/summer-517215#statistics,Summer,Original,0
https://www.ibdb.com/broadway-production/the-bands-visit-514964#statistics,The Bands Visit,Original,10
https://www.ibdb.com/broadway-production/the-boys-in-the-band-516746#statistics,The Boys In The Band,Revival,1
https://www.ibdb.com/broadway-production/the-cher-show-518460#statistics,The Cher Show,Original,2
https://www.ibdb.com/broadway-production/the-ferryman-518068#statistics,The Ferryman,Original,4
https://www.ibdb.com/broadway-production/the-iceman-cometh-515678#statistics,The Iceman Cometh,Revival,0
https://www.ibdb.com/broadway-production/the-illusionists--magic-of-the-holidays-519594#statistics,The Illusionists  Magic Of The Holidays,Original,0
https://www.ibdb.com/broadway-production/the-lifespan-of-a-fact-518712#statistics,The Lifespan Of A Fact,Original,0
https://www.ibdb.com/broadway-production/the-nap-517583#statistics,The Nap,Original,0
https://www.ibdb.com/broadway-production/the-new-one-519924#statistics,The New One,Original,0
https://www.ibdb.com/broadway-production/the-play-that-goes-wrong-511410#statistics,The Play That Goes Wrong,Original,1
https://www.ibdb.com/broadway-production/the-prom-518117#statistics,The Prom,Original,0
https://www.ibdb.com/broadway-production/the-waverly-gallery-518410#statistics,The Waverly Gallery,Original,1
https://www.ibdb.com/broadway-production/three-tall-women-515801#statistics,Three Tall Women,Original,2
https://www.ibdb.com/broadway-production/to-kill-a-mockingbird-518644#statistics,To Kill A Mockingbird,Original,1
https://www.ibdb.com/broadway-production/tootsie-519394#statistics,Tootsie,Original,2
https://www.ibdb.com/broadway-production/torch-song-517943#statistics,Torch Song,Revival,0
https://www.ibdb.com/broadway-production/travesties-515749#statistics,Travesties,Revival,0
https://www.ibdb.com/broadway-production/true-west-518222#statistics,True West,Revival,0
https://www.ibdb.com/broadway-production/what-the-constitution-means-to-me-521025#statistics,What The Constitution Means To Me,Original,0